age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost,Potential_Monthly_Savings,Adoption_Sort_Order
56,23019,High School,Suburban,39.8,205.7,Hatchback,6.1,317.1,3.9,9.5,1,0.14,8.3,6.4,5.2,4.6,3.5,6.9,0,High,199.8,28.5,288.6,3
46,26440,High School,Suburban,34.6,218.4,Sedan,4.4,290,4.5,11.6,1,0.16,7.8,10,5.7,5.5,7.4,6.9,1,High,139.8,22.9,267.1,3
46,57167,PhD,Suburban,30.5,177.7,Sedan,0.4,201.4,6.3,6.4,1,0.24,7.6,6.4,7.8,5.3,6.2,6.8,0,High,158,38.5,162.9,3
23,15841,Master,Suburban,44.6,325.9,SUV,0,407.3,5.2,8.8,0,0.22,6.2,5.6,5.1,7.9,5.7,7.2,0,Low,207,45,362.3,1
50,51571,Master,Urban,52.4,281,SUV,5.2,458.4,4.3,0.5,0,0.22,9.7,9.9,8.2,2.6,4.7,8.1,0,High,195.6,43.9,414.5,3
23,19315,Bachelor,Urban,32.8,167.6,SUV,4,275.7,8,2,0,0.12,4.3,6.7,4,8.5,5,4.9,0,Low,118.1,14.1,261.59999999999997,1
53,52110,High School,Suburban,14,99,Hatchback,2.7,90.1,6.8,12.4,0,0.11,6.5,5.7,5.6,4.4,6.2,7.3,0,Medium,90.9,9.6,80.5,2
69,126618,High School,Urban,40.9,314.9,Truck,1.7,391.6,9.6,0.5,1,0.32,6.9,7.2,7.5,5.9,7.4,7.4,0,High,203.3,65,326.6,3
53,62712,Bachelor,Urban,42.1,256.8,Hatchback,3.1,397.9,8.3,15.2,1,0.15,6.6,6.6,4.7,6.8,5.1,6.6,0,Medium,193.3,28.5,369.4,2
69,41775,High School,Rural,40.9,262.3,Sedan,7,363.9,4.7,11.4,1,0.23,4.9,4.1,5.5,6.3,3.8,5.1,0,Low,202.4,47.5,316.4,1
46,67343,Master,Suburban,18.8,133.6,SUV,8.7,133.7,5.6,11,1,0.22,6.4,8.9,8.5,3.2,5,8.8,0,High,131.6,28.7,104.99999999999999,3
42,27271,Bachelor,Urban,31.4,160.8,Hatchback,3.3,250.8,10,3.5,0,0.25,9.2,10,5.1,3.4,8.7,8.5,1,High,132.5,32.9,217.9,3
43,28828,Bachelor,Suburban,47.8,247.3,Truck,1.4,387.7,5.4,12.3,1,0.26,8.9,9.3,5.3,2.1,4.1,7.2,0,High,161.6,41.6,346.09999999999997,3
30,56928,Master,Rural,44,254.4,Sedan,6,399.8,8.9,11.7,1,0.33,8.7,8.3,6.9,3.9,6.1,8.5,0,High,241.9,81,318.8,3
